image_name,peak,sigma_est,sigma_multiplier,anscombe_transform,filter,psnr_noisy,ssim_noisy,psnr_denoised,ssim_denoised
ct6.png,13000,6.764372621931807,0.01,True,nlmeans,24.848032983853116,0.8733225587605303,24.848032983853116,0.8733225587605303
ct6.png,13000,6.764372621931807,0.01,True,bm3d,24.848032983853116,0.8733225587605303,24.848035084394272,0.8733227782062172
ct6.png,13000,6.764372621931807,0.015,True,nlmeans,24.848032983853116,0.8733225587605303,24.848018046700826,0.8733220011112272
ct6.png,13000,6.764372621931807,0.015,True,bm3d,24.848032983853116,0.8733225587605303,24.8474276035535,0.8733868043186881
ct6.png,13000,6.764372621931807,0.019999999999999997,True,nlmeans,24.848032983853116,0.8733225587605303,24.847969890294046,0.873321566090711
ct6.png,13000,6.764372621931807,0.019999999999999997,True,bm3d,24.848032983853116,0.8733225587605303,24.84301333756957,0.8737081733226911
ct6.png,13000,6.764372621931807,0.024999999999999998,True,nlmeans,24.848032983853116,0.8733225587605303,24.847308746707874,0.8733415213442876
ct6.png,13000,6.764372621931807,0.024999999999999998,True,bm3d,24.848032983853116,0.8733225587605303,24.847372530736315,0.8742729935966302
ct6.png,13000,6.764372621931807,0.03,True,nlmeans,24.848032983853116,0.8733225587605303,24.844844988938732,0.8735140383630784
ct6.png,13000,6.764372621931807,0.03,True,bm3d,24.848032983853116,0.8733225587605303,24.864983462876605,0.8749849213807726
ct6.png,13000,6.764372621931807,0.034999999999999996,True,nlmeans,24.848032983853116,0.8733225587605303,24.848142913538535,0.8743249117102364
ct6.png,13000,6.764372621931807,0.034999999999999996,True,bm3d,24.848032983853116,0.8733225587605303,24.883836842761223,0.8759302348819433
ct6.png,13000,6.764372621931807,0.039999999999999994,True,nlmeans,24.848032983853116,0.8733225587605303,24.86705662954946,0.8762015544399128
ct6.png,13000,6.764372621931807,0.039999999999999994,True,bm3d,24.848032983853116,0.8733225587605303,24.90212163427745,0.8771823778278726
ct6.png,13000,6.764372621931807,0.045,True,nlmeans,24.848032983853116,0.8733225587605303,24.900740100645052,0.8788348600902867
ct6.png,13000,6.764372621931807,0.045,True,bm3d,24.848032983853116,0.8733225587605303,24.92492570187305,0.878731680349408
ct6.png,13000,6.764372621931807,0.049999999999999996,True,nlmeans,24.848032983853116,0.8733225587605303,24.9417673652897,0.8814190387225808
